[2021-04-08 00:00:07]: GODLIKe [hax, Level 44]: bad
[2021-04-08 01:48:58]: ***  [, Level 0]: '[D] mamikral011' has left the game
[2021-04-08 01:49:07]: OP|Supers [DogParty, Level 39]: GOLD:  sry
[2021-04-08 01:49:12]: ***  [, Level 0]: '(1)zemer' entered and joined the game
[2021-04-08 01:49:17]: ***  [, Level 0]: 'theenos' entered and joined the game
[2021-04-08 01:49:20]: GOLD [404, Level 41]: Supers: its ok
[2021-04-08 01:49:23]: Maatiteusz [TrRShClNrRs, Level 35]: weqe:
[2021-04-08 01:49:28]: ***  [, Level 0]: 'Türk biri' entered and joined the game
[2021-04-08 01:49:37]: comic [comically, Level 13]: ok i go hop on other server then
[2021-04-08 01:49:38]: OP|Supers [DogParty, Level 39]: ~DemoizL~:  help
[2021-04-08 01:49:39]: ***  [, Level 0]: 'comic' has left the game
[2021-04-08 01:49:43]: any [404, Level 42]: weqe: <<
[2021-04-08 01:49:51]: MieSlime [FookinLads, Level 43]: ~DemoizL~:  il a help GOLD
[2021-04-08 01:49:53]: ***  [, Level 0]: 'oyun krallı' has left the game (Too weak connection (not acked for 60 seconds))
[2021-04-08 01:49:57]: Maatiteusz [TrRShClNrRs, Level 35]: MieSlime:
[2021-04-08 01:49:58]: ***  [, Level 0]: '[2] VeemID' entered and joined the game
[2021-04-08 01:50:03]: zemer [xSD7, Level 37]: YelloWorlD:
[2021-04-08 01:50:27]: OP|Supers [DogParty, Level 39]: ~DemoizL~:
[2021-04-08 01:50:34]: bruh [, Level 0]: BC me
[2021-04-08 01:50:35]: (1)zemer [FortniteHrs, Level 0]: [D] x7|cya:
[2021-04-08 01:50:38]: ***  [, Level 0]: '(1)zemer' has left the game
[2021-04-08 01:50:46]: zemer [xSD7, Level 37]: x7|cya:
[2021-04-08 01:50:49]: zemer [xSD7, Level 37]: [D] x7|cya:
[2021-04-08 01:50:55]: zemer [xSD7, Level 37]: bruh:
[2021-04-08 01:51:04]: ***  [, Level 0]: OP|Supers's killing spree was ended by MieSlime (5 blocks)
[2021-04-08 01:51:05]: zemer [xSD7, Level 37]: (1)ChillerDrago:
[2021-04-08 01:51:05]: (1)ChillerDrago [|*KoG*|, Level 32]: zemer: I am currently afk.
[2021-04-08 01:51:12]: zemer [xSD7, Level 37]: weqe:
[2021-04-08 01:51:25]: weqe [MNKY, Level 12]: ???
[2021-04-08 01:51:25]: zemer [xSD7, Level 37]: weqe:
[2021-04-08 01:51:29]: zemer [xSD7, Level 37]: weqe: Help
[2021-04-08 01:51:33]: weqe [MNKY, Level 12]: i didnt block u zemer
[2021-04-08 01:51:37]: zemer [xSD7, Level 37]: weqe: Ik
[2021-04-08 01:51:41]: weqe [MNKY, Level 12]: zemer: so i cant help
[2021-04-08 01:51:42]: Supers [ᅟᅟᅟ, Level 8]: VeemID:  JUST GO
[2021-04-08 01:51:46]: MieSlime [FookinLads, Level 43]: YelloWorlD:  ez sale sous merde,meme avec les bonus jtai bz tes grand morts avec de la sauve biggie fdp
[2021-04-08 01:51:47]: zemer [xSD7, Level 37]: weqe: Help me
[2021-04-08 01:51:53]: weqe [MNKY, Level 12]: cant zemer , not my war this
[2021-04-08 01:51:59]: ***  [, Level 0]: [INFO] You can drop flags with 'f3' (or the key for vote yes)
[2021-04-08 01:52:00]: mamikral011 [DogParty, Level 0]: YelloWorlD: fuck :D
[2021-04-08 01:52:06]: YelloWorlD [DogParty, Level 37]: xDDD
[2021-04-08 01:52:06]: Meetiteusz [TrRShClNrRs, Level 0]: 4v1
[2021-04-08 01:52:07]: Supers [ᅟᅟᅟ, Level 8]: PRO
[2021-04-08 01:52:07]: Meetiteusz [TrRShClNrRs, Level 0]: 3v1
[2021-04-08 01:52:09]: zemer [xSD7, Level 37]: weqe: Help me now eselficker
[2021-04-08 01:52:10]: Meetiteusz [TrRShClNrRs, Level 0]: fucking bots
[2021-04-08 01:52:13]: Meetiteusz [TrRShClNrRs, Level 0]: YelloWorlD: l2p
[2021-04-08 01:52:14]: zemer [xSD7, Level 37]: [D] x7|cya:
[2021-04-08 01:52:15]: weqe [MNKY, Level 12]: eselfficker ?
[2021-04-08 01:52:17]: zemer [xSD7, Level 37]: [D] x7|cya:
[2021-04-08 01:52:19]: Supers [ᅟᅟᅟ, Level 8]: Meetiteusz:  stfu i killed you with one hammer shot
[2021-04-08 01:52:30]: Meetiteusz [TrRShClNrRs, Level 0]: Supers: yeah cuz i was hooked from 2 peopke
[2021-04-08 01:52:32]: ***  [, Level 0]: 'theenos' has left the game
[2021-04-08 01:52:36]: Meetiteusz [TrRShClNrRs, Level 0]: Supers: come v3
[2021-04-08 01:52:41]: OP|Supers [DogParty, Level 39]: Meetiteusz:  bro stfu now
[2021-04-08 01:52:44]: Meetiteusz [TrRShClNrRs, Level 0]: 10:0 kid
[2021-04-08 01:52:53]: Supers [ᅟᅟᅟ, Level 8]: noone wants to hear you cry
[2021-04-08 01:53:03]: ***  [, Level 0]: 'BC|Tixnix' entered and joined the game
[2021-04-08 01:53:15]: ***  [, Level 0]: '[D] BC|Tixnix' entered and joined the game
[2021-04-08 01:53:36]: zemer [xSD7, Level 37]: GOLD:
[2021-04-08 01:53:37]: Meetiteusz [TrRShClNrRs, Level 0]: mamikral011: kamikaze kid
[2021-04-08 01:53:46]: weqe [MNKY, Level 12]: MieSlime: >>
[2021-04-08 01:53:57]: mamikral011 [DogParty, Level 0]: MieSlime: ?
[2021-04-08 01:54:02]: mamikral011 [DogParty, Level 0]: bruh:
[2021-04-08 01:54:20]: YelloWorlD [DogParty, Level 37]: lag
[2021-04-08 01:54:20]: mamikral011 [DogParty, Level 0]: YelloWorlD: :D
[2021-04-08 01:54:21]: MieSlime [FookinLads, Level 43]: any: bars ta mere
[2021-04-08 01:54:22]: ***  [, Level 0]: weqe is on a killing spree with 5 blocks
[2021-04-08 01:54:23]: ***  [, Level 0]: Maatiteusz is on a killing spree with 5 blocks
[2021-04-08 01:54:29]: YelloWorlD [DogParty, Level 37]: VeemID: vien raid
[2021-04-08 01:54:33]: Meetiteusz [TrRShClNrRs, Level 0]: mamikral011: nice spawn block xD
[2021-04-08 01:54:36]: mamikral011 [DogParty, Level 0]: :D
[2021-04-08 01:54:37]: MieSlime [FookinLads, Level 43]: zemer:  ok war
[2021-04-08 01:54:40]: any² [404, Level 0]: ~DemoizL~: for real ?
[2021-04-08 01:54:48]: any [404, Level 42]: weqe: <<
[2021-04-08 01:54:52]: mamikral011 [DogParty, Level 0]: YelloWorlD: :D
[2021-04-08 01:54:56]: Supers [ᅟᅟᅟ, Level 8]: YelloWorlD:  ez
[2021-04-08 01:54:59]: Maatiteusz [TrRShClNrRs, Level 35]: rayen: fucking help us
[2021-04-08 01:55:00]: zemer [xSD7, Level 37]: MieSlime: What do you want
[2021-04-08 01:55:07]: OP|Supers [DogParty, Level 39]: YelloWorlD:  i cleared police and killed myself
[2021-04-08 01:55:08]: any [404, Level 42]: weqe: wtf
[2021-04-08 01:55:10]: ***  [, Level 0]: 'tee' entered and joined the game
[2021-04-08 01:55:11]: YelloWorlD [DogParty, Level 37]: mamikral011: mxDD
[2021-04-08 01:55:13]: Maatiteusz [TrRShClNrRs, Level 35]: resart:
[2021-04-08 01:55:13]: mamikral011 [DogParty, Level 0]: YelloWorlD: dflgkfdlgkf
[2021-04-08 01:55:15]: Maatiteusz [TrRShClNrRs, Level 35]: resart: right
[2021-04-08 01:55:19]: zemer [xSD7, Level 37]: MieSlime: Do you know S Y T H N?
[2021-04-08 01:55:24]: weqe [MNKY, Level 12]: MieSlime: any is good
[2021-04-08 01:55:25]: any [404, Level 42]: MieSlime: jte rapelle on est aliées
[2021-04-08 01:55:30]: MieSlime [FookinLads, Level 43]: weqe:  he help g GOLD
[2021-04-08 01:55:35]: weqe [MNKY, Level 12]: any: u help gold ?
[2021-04-08 01:55:36]: zemer [xSD7, Level 37]: MieSlime: Do You know S Y T H N?
[2021-04-08 01:55:38]: ***  [, Level 0]: 'NetFlix' entered and joined the game
[2021-04-08 01:55:40]: MieSlime [FookinLads, Level 43]: any:  tu help GOLD  donc pas vrm
[2021-04-08 01:55:42]: any [404, Level 42]: weqe: yes he is ally
[2021-04-08 01:55:46]: weqe [MNKY, Level 12]: sorry cant help then any
[2021-04-08 01:55:47]: MieSlime [FookinLads, Level 43]: any:  tu help gold ?
[2021-04-08 01:55:48]: zemer [xSD7, Level 37]: MieSlime: Answer
[2021-04-08 01:55:55]: ***  [, Level 0]: 'Anatomy' entered and joined the game
[2021-04-08 01:56:00]: MieSlime [FookinLads, Level 43]: Anatomy:  je sais que tu va help GOLD
[2021-04-08 01:56:01]: any [404, Level 42]: MieSlime: bah bonne chance pour rester dans fookin
[2021-04-08 01:56:05]: Anatomy [MaL4iki kz, Level 0]: MieSlime: ?
[2021-04-08 01:56:10]: ***  [, Level 0]: 'Friendiship ;-)' entered and joined the game
[2021-04-08 01:56:11]: MieSlime [FookinLads, Level 43]: Anatomy:  tu help GOLD
[2021-04-08 01:56:18]: Anatomy [MaL4iki kz, Level 0]: MieSlime: i didnt help gold
[2021-04-08 01:56:20]: zemer [xSD7, Level 37]: MieSlime: You have now War with S Y T H N
[2021-04-08 01:56:24]: MieSlime [FookinLads, Level 43]: Anatomy:  oops not u
[2021-04-08 01:56:29]: Anatomy [MaL4iki kz, Level 0]: XD
[2021-04-08 01:56:32]: zemer [xSD7, Level 37]: weqe:
[2021-04-08 01:56:37]: Maatiteusz [TrRShClNrRs, Level 35]: MieSlime: do smth
[2021-04-08 01:56:38]: weqe [MNKY, Level 12]: zemer: u help GOLD ?
[2021-04-08 01:56:45]: zemer [xSD7, Level 37]: weqe: Yeah
[2021-04-08 01:56:46]: OP|Supers [DogParty, Level 39]: mamikral011:
[2021-04-08 01:56:50]: zemer [xSD7, Level 37]: mamikral011:
[2021-04-08 01:56:54]: OP|Supers [DogParty, Level 39]: mamikral011:  WTF HELP ME
[2021-04-08 01:56:54]: zemer [xSD7, Level 37]: YelloWorlD:
[2021-04-08 01:56:54]: weqe [MNKY, Level 12]: zemer: GOLD is enemy
[2021-04-08 01:56:59]: ***  [, Level 0]: [INFO] Check out the minigames using '/minigames'
[2021-04-08 01:57:01]: zemer [xSD7, Level 37]: weqe: 9oK
[2021-04-08 01:57:15]: mamikral011 [DogParty, Level 0]: VeemID: :D
[2021-04-08 01:57:15]: OP|Supers [DogParty, Level 39]: YelloWorlD:  >>>>>>>
[2021-04-08 01:57:19]: zemer [xSD7, Level 37]:  bruh
[2021-04-08 01:57:19]: OP|Supers [DogParty, Level 39]: IM goin off
[2021-04-08 01:57:20]: ***  [, Level 0]: 'OP|Supers' has left the game
[2021-04-08 01:57:20]: ***  [, Level 0]: 'Supers' has left the game
[2021-04-08 01:57:20]: ***  [, Level 0]: 'Vodo4ka' entered and joined the game
[2021-04-08 01:57:26]: any [404, Level 42]: YelloWorlD: heyy
[2021-04-08 01:57:29]: ***  [, Level 0]: 'nameless tee' entered and joined the game
[2021-04-08 01:57:34]: zemer [xSD7, Level 37]: bruh:
[2021-04-08 01:57:35]: any [404, Level 42]: YelloWorlD: go raid par la gauche
[2021-04-08 01:57:36]: mamikral011 [DogParty, Level 0]: Anatomy: war
[2021-04-08 01:57:38]: bruh [, Level 0]: yes
[2021-04-08 01:57:41]: YelloWorlD [DogParty, Level 37]: BC|Tixnix: want join my clan ?
[2021-04-08 01:57:42]: Anatomy [MaL4iki kz, Level 0]: mamikral011: we already
[2021-04-08 01:57:47]: mamikral011 [DogParty, Level 0]: YelloWorlD: Anatomy help him
[2021-04-08 01:57:47]: zemer [xSD7, Level 37]: bruh: ok
[2021-04-08 01:57:50]: any [404, Level 42]: GOLD:
[2021-04-08 01:57:59]: [D] BC|Tixnix [BC, Level 26]: YelloWorlD: kann i join?
[2021-04-08 01:58:08]: zemer [xSD7, Level 37]: ~DemoizL~:
[2021-04-08 01:58:09]: YelloWorlD [DogParty, Level 37]: BC|Tixnix: yes write DogParty in clan tag
[2021-04-08 01:58:19]: ***  [, Level 0]: 'x7|KshKsh99' entered and joined the game
[2021-04-08 01:58:22]: MieSlime [FookinLads, Level 43]: VeemID:  mauvais choix frero
[2021-04-08 01:58:28]: [D] BC|Tixnix [BC, Level 26]: YelloWorlD: ok
[2021-04-08 01:58:28]: mamikral011 [DogParty, Level 0]: Türk biri: dur bi lan
[2021-04-08 01:58:31]: ***  [, Level 0]: GOLD is on a killing spree with 5 blocks
[2021-04-08 01:58:31]: ***  [, Level 0]: weqe's killing spree was ended by GOLD (6 blocks)
[2021-04-08 01:58:32]: x7|KshKsh99 [xSD7, Level 0]: ?
[2021-04-08 01:58:33]: zemer [xSD7, Level 37]: bruh:
[2021-04-08 01:58:37]: Vodo4ka [JB.st, Level 41]: x7|KshKsh99: toxic
[2021-04-08 01:58:38]: zemer [xSD7, Level 37]: Anatomy:
[2021-04-08 01:58:42]: x7|KshKsh99 [xSD7, Level 0]: thanks
[2021-04-08 01:58:51]: MieSlime [FookinLads, Level 43]: [D] x7|cya:  stop
[2021-04-08 01:58:55]: MieSlime [FookinLads, Level 43]: ~DemoizL~:  stop toi ausis
[2021-04-08 01:58:56]: x7|cya [xSD7, Level 42]: MieSlime: NO
[2021-04-08 01:59:01]: MieSlime [FookinLads, Level 43]: ~DemoizL~:  stop toi aussi*
[2021-04-08 01:59:01]: ***  [, Level 0]: 'Türk biri' has left the game
[2021-04-08 01:59:03]: Anatomy [MaL4iki kz, Level 0]: x7|cya: <<< GOLD
[2021-04-08 01:59:03]: x7|cya [xSD7, Level 42]: MieSlime: you are helping him and he is killing me
[2021-04-08 01:59:06]: ~DemoizL~ [, Level 39]: MieSlime: mais il fait chier
[2021-04-08 01:59:10]: zemer [xSD7, Level 37]: [D] x7|cya:
[2021-04-08 01:59:17]: zemer [xSD7, Level 37]: any
[2021-04-08 01:59:22]: zemer [xSD7, Level 37]: Anatomy:
[2021-04-08 01:59:24]: ***  [, Level 0]: mamikral011 is on a killing spree with 5 blocks
[2021-04-08 01:59:24]: zemer [xSD7, Level 37]: any:
[2021-04-08 01:59:25]: Anatomy [MaL4iki kz, Level 35]: zeme
[2021-04-08 01:59:27]: ***  [, Level 0]: 'Лимонад' entered and joined the game
[2021-04-08 01:59:30]: ***  [, Level 0]: mamikral011's killing spree was ended by resart (6 blocks)
[2021-04-08 01:59:34]: ***  [, Level 0]: 'mamikral011' has left the game
[2021-04-08 01:59:35]: Anatomy [MaL4iki kz, Level 35]: Лимонад: лиманат
[2021-04-08 01:59:41]: ***  [, Level 0]: 'Maatiteusz' has left the game (Timeout)
[2021-04-08 01:59:41]: ***  [, Level 0]: 'Meetiteusz' has left the game (Timeout)
[2021-04-08 01:59:41]: zemer [, Level 37]: any:
[2021-04-08 01:59:54]: MieSlime [FookinLads, Level 43]: any:  juste répond!tu aide GOLD  ou pas ???
[2021-04-08 02:00:01]: zemer [, Level 37]: x7|KshKsh99: =
[2021-04-08 02:00:02]: MieSlime [FookinLads, Level 43]: Friendiship ;-):  kill him
[2021-04-08 02:00:04]: ***  [, Level 0]: 'jorden' entered and joined the game
[2021-04-08 02:00:07]: MieSlime [FookinLads, Level 43]: Friendiship ;-):  kill him or war
[2021-04-08 02:00:08]: zemer [, Level 37]: x7|KshKsh99: ??
[2021-04-08 02:00:08]: [D] BC|Tixnix [BC, Level 26]: YelloWorlD:
[2021-04-08 02:00:12]: x7|KshKsh99 [xSD7, Level 0]: zemer: ?
[2021-04-08 02:00:20]: MieSlime [FookinLads, Level 43]: weqe:  Friendiship ;-)  helped YelloWorlD
[2021-04-08 02:00:24]: Anatomy [MaL4iki kz, Level 35]: цу
[2021-04-08 02:00:25]: Anatomy [MaL4iki kz, Level 35]: weqe:
[2021-04-08 02:00:27]: Anatomy [MaL4iki kz, Level 35]: help
[2021-04-08 02:00:28]: weqe [MNKY, Level 12]: yes MieSlime friend is gay
[2021-04-08 02:00:56]: x7|KshKsh99 [xSD7, Level 0]: zemer: oh
[2021-04-08 02:01:08]: ***  [, Level 0]: restart is on a killing spree with 5 blocks
[2021-04-08 02:01:21]: zemer [, Level 37]: any:
[2021-04-08 02:01:26]: ***  [, Level 0]: 'nameless tee' has left the game
[2021-04-08 02:01:38]: ***  [, Level 0]: 'Isegrin' entered and joined the game
[2021-04-08 02:01:44]: ***  [, Level 0]: 'Mr.KshKsh99' entered and joined the game
[2021-04-08 02:01:53]: Isegrin [, Level 55]: praNjkda
[2021-04-08 02:01:59]: ***  [, Level 0]: [INFO] You can drop weapons with 'f4' (or the key for vote no)
[2021-04-08 02:02:15]: ***  [, Level 0]: 'restart' has left the game (Timeout)
[2021-04-08 02:02:15]: ***  [, Level 0]: 'resart' has left the game (Timeout)
[2021-04-08 02:02:23]: Лимонад [MFG, Level 37]: Anatomy:
[2021-04-08 02:02:50]: ***  [, Level 0]: 'Virus' entered and joined the game
[2021-04-08 02:02:50]: Mr.KshKsh99 [xSD7, Level 0]: lag
[2021-04-08 02:02:53]: ***  [, Level 0]: Лимонад is on a killing spree with 5 blocks
[2021-04-08 02:02:56]: weqe [MNKY, Level 12]: Anatomy: ?
[2021-04-08 02:02:57]: [D] x7|cya [xSD7, Level 39]: MieSlime: stop it
[2021-04-08 02:02:58]: jorden [, Level 0]: weqe:
[2021-04-08 02:02:59]: jorden [, Level 0]: ?
[2021-04-08 02:03:03]: weqe [MNKY, Level 12]: help ?
[2021-04-08 02:03:19]: Anatomy [MaL4iki kz, Level 35]: MieSlime: why block weqe
[2021-04-08 02:03:43]: ***  [, Level 0]: MieSlime is on a killing spree with 5 blocks
[2021-04-08 02:03:47]: Virus [, Level 49]: XD
[2021-04-08 02:03:50]: ***  [, Level 0]: 'Anatomy' changed name to 'rojden'
[2021-04-08 02:04:01]: ***  [, Level 0]: 'BC|kakashi' entered and joined the game
[2021-04-08 02:04:09]: MieSlime [FookinLads, Level 43]: ChillerDragon:  i know xD
[2021-04-08 02:04:09]: ChillerDragon [Chilli.*, Level 44]: MieSlime: I am currently afk.
[2021-04-08 02:04:13]: YelloWorlD [DogParty, Level 37]: [D] BC|Tixnix: not 404 but DogParty
[2021-04-08 02:04:19]: ***  [, Level 0]: MieSlime's killing spree was ended by Mr.KshKsh99 (5 blocks)
[2021-04-08 02:04:20]: weqe [MNKY, Level 12]: jorden: ?
[2021-04-08 02:04:23]: BC|Tixnix [404, Level 34]: YelloWorlD: ok
[2021-04-08 02:04:28]: ***  [, Level 0]: ERROR.'s killing spree was ended by [D] x7|cya (6 blocks)
[2021-04-08 02:04:29]: jorden [, Level 0]: weqe: i cant
[2021-04-08 02:04:31]: Mr.KshKsh99 [xSD7, Level 0]: laaaaaaaag
[2021-04-08 02:04:34]: weqe [MNKY, Level 12]: wow okay jorden u little assfuck
[2021-04-08 02:04:37]: jorden [, Level 0]: weqe: not my war
[2021-04-08 02:04:41]: ***  [, Level 0]: Лимонад is on a killing spree with 10 blocks
[2021-04-08 02:04:48]: weqe [MNKY, Level 12]: jorden: i helped u 10 times u fucking cock sucker
[2021-04-08 02:04:49]: ***  [, Level 0]: rojden is on a killing spree with 5 blocks
[2021-04-08 02:04:56]: jorden [, Level 0]: weqe: bcs you too
[2021-04-08 02:05:04]: MieSlime [FookinLads, Level 43]: ChillerDragon:  xDD i know,i watched it
[2021-04-08 02:05:04]: ChillerDragon [Chilli.*, Level 44]: MieSlime: I am currently afk.
[2021-04-08 02:05:09]: jorden [, Level 0]: h
[2021-04-08 02:05:11]: MieSlime [FookinLads, Level 43]: ChillerDragon:  i have it just next to me
[2021-04-08 02:05:11]: ChillerDragon [Chilli.*, Level 44]: MieSlime: I am currently afk.
[2021-04-08 02:05:12]: any [404, Level 42]: hiiii ERROR
[2021-04-08 02:05:20]: jorden [, Level 0]: XD
[2021-04-08 02:05:22]: ***  [, Level 0]: 'zemer' changed name to 'x7|zemer'
[2021-04-08 02:05:24]: MieSlime [FookinLads, Level 43]: ChillerDragon:  i have ur live stream on my second screen
[2021-04-08 02:05:24]: ChillerDragon [Chilli.*, Level 44]: MieSlime: I am currently afk.
[2021-04-08 02:05:30]: jorden [, Level 0]: chillerdragay[M] ok
[2021-04-08 02:05:34]: ***  [, Level 0]: Лимонад is on a killing spree with 15 blocks
[2021-04-08 02:05:42]: jorden [, Level 0]: Vodo4ka: ПРИВИ
[2021-04-08 02:05:48]: jorden [, Level 0]: Vodo4ka: У МИНЯ ЧИРЕЗ 2 ДНЯ ДР\
[2021-04-08 02:05:50]: jorden [, Level 0]: УУУЫЫЫ
[2021-04-08 02:05:54]: ERROR. [404, Level 56]: YelloWorlD:  omg
[2021-04-08 02:06:05]: x7|zemer [xSD7, Level 37]: Vodo4ka:
[2021-04-08 02:06:10]: Mr.KshKsh99 [xSD7, Level 0]: laaaaaag
[2021-04-08 02:06:28]: Friendiship ;-) [, Level 0]: YelloWorlD: t où ?
[2021-04-08 02:06:31]: ChillerDragon.* [Chilli.*, Level 41]: wb rly [D] BC|Tixnix ?
[2021-04-08 02:06:32]: ~DemoizL~ [, Level 39]: dog
[2021-04-08 02:06:39]: any [404, Level 42]: ~DemoizL~: l2p
[2021-04-08 02:06:42]: ChillerDragon.* [Chilli.*, Level 41]: ass MieSlime
[2021-04-08 02:06:59]: ***  [, Level 0]: [INFO] You can drop flags with 'f3' (or the key for vote yes)
[2021-04-08 02:07:04]: Virus [, Level 49]: VOVA
[2021-04-08 02:07:09]: ***  [, Level 0]: 'x7|zemer' changed name to 'zemer'
[2021-04-08 02:07:12]: ***  [, Level 0]: 'Virus' has left the game
[2021-04-08 02:07:45]: ***  [, Level 0]: 'Isegrin' has left the game
[2021-04-08 02:07:54]: MieSlime [FookinLads, Level 43]: ChillerDragon:  do u know who created ddnet ?
[2021-04-08 02:07:59]: zemer [, Level 37]: YelloWorlD: ???
[2021-04-08 02:08:02]: ChillerDragon.* [Chilli.*, Level 41]: what about ddnet MieSlime
[2021-04-08 02:08:10]: ***  [, Level 0]: 'Лимонад' has left the game
[2021-04-08 02:08:17]: Friendiship ;-) [, Level 0]: YelloWorlD: pq any me bloque
[2021-04-08 02:08:20]: ChillerDragon.* [Chilli.*, Level 41]: ddnet is a client a server and a hosted network a website and based on ddrace etc MieSlime
[2021-04-08 02:08:21]: MieSlime [FookinLads, Level 43]: ChillerDragon:  wdym
[2021-04-08 02:08:31]: MieSlime [FookinLads, Level 43]: ChillerDragon:  yes but someone created it
[2021-04-08 02:08:35]: ChillerDragon.* [|*KoG*|, Level 41]: its a team of people working on different projects MieSlime
[2021-04-08 02:09:00]: jorden [, Level 0]: пиздец
[2021-04-08 02:09:01]: jorden [, Level 0]: с инф хуккос
[2021-04-08 02:09:04]: jorden [, Level 0]: хуком
[2021-04-08 02:09:06]: jorden [, Level 0]: проебывать
[2021-04-08 02:09:19]: jorden [, Level 0]: гя
[2021-04-08 02:09:20]: jorden [, Level 0]: хуею
[2021-04-08 02:09:30]: ***  [, Level 0]: 'Лимонад' entered and joined the game
[2021-04-08 02:09:43]: ***  [, Level 0]: 'Лимонад' has left the game
[2021-04-08 02:09:45]: zemer [, Level 37]: [D] x7|cya:
[2021-04-08 02:09:51]: ***  [, Level 0]: YelloWorlD is on a killing spree with 5 blocks
[2021-04-08 02:10:14]: BC|Tixnix [BC, Level 34]: YelloWorlD:
[2021-04-08 02:10:38]: jorden [, Level 0]: YelloWorlD: look like a noob
[2021-04-08 02:10:41]: jorden [, Level 0]: portal with 2 dogs
[2021-04-08 02:10:45]: weqe [MNKY, Level 12]: ChillerDragon.*:
[2021-04-08 02:10:47]: any [404, Level 42]: YelloWorlD:
[2021-04-08 02:10:51]: any [404, Level 42]: rayen: fr
[2021-04-08 02:10:54]: Vodo4ka [JB.st, Level 41]: r
[2021-04-08 02:10:55]: rayen [, Level 0]: OUI
[2021-04-08 02:10:55]: zemer [, Level 37]: ChillerDragon:
[2021-04-08 02:11:02]: ChillerDragon.* [Chilli.*, Level 41]: remember war zemer
[2021-04-08 02:11:04]: zemer [, Level 37]: ChillerDragon: Warum?
[2021-04-08 02:11:07]: ChillerDragon.* [Chilli.*, Level 41]: like 1 min ago zemer
[2021-04-08 02:11:08]: MieSlime [FookinLads, Level 43]: weqe:
[2021-04-08 02:11:10]: ChillerDragon.* [Chilli.*, Level 41]: du hast nich geholfen zemer
[2021-04-08 02:11:10]: MieSlime [FookinLads, Level 43]: weqe: !!!!!!
[2021-04-08 02:11:12]: any [404, Level 42]: YelloWorlD:
[2021-04-08 02:11:13]: zemer [, Level 37]: ChillerDragon: Häää
[2021-04-08 02:11:13]: MieSlime [FookinLads, Level 43]: weqe: left
[2021-04-08 02:11:23]: [2] VeemID [DogParty, Level 0]: YelloWorlD: dis a any que jsuis avc vous
[2021-04-08 02:11:27]: zemer [, Level 37]: ChillerDragon: Wann hatten wir war und warum haben wir war?
[2021-04-08 02:11:37]: ChillerDragon.* [Chilli.*, Level 41]: weil du nich geholfen hast zemer
[2021-04-08 02:11:38]: ***  [, Level 0]: x7|cya is on a killing spree with 5 blocks
[2021-04-08 02:11:40]: ***  [, Level 0]: 'Asta' entered and joined the game
[2021-04-08 02:11:50]: jorden [, Level 0]: ChillerDragon: noob spining
[2021-04-08 02:11:58]: ***  [, Level 0]: 'tee' has left the game
[2021-04-08 02:11:59]: ***  [, Level 0]: [INFO] You can drop weapons with 'f4' (or the key for vote no)
[2021-04-08 02:12:02]: any [404, Level 42]: YelloWorlD: w<<<
[2021-04-08 02:12:20]: ChillerDragon [|*KoG*|, Level 44]: zemer:
[2021-04-08 02:12:33]: zemer [, Level 37]: ChillerDragon:
[2021-04-08 02:12:37]: jorden [, Level 0]: x7|KshKsh99: zemer help chilledragay
[2021-04-08 02:12:38]: ChillerDragon [Chilli.*, Level 44]: zemer: ich hab mit any team und wenn du nich hilfst hast du war
[2021-04-08 02:12:42]: Vodo4ka [JB.st, Level 41]: weqe: XD
[2021-04-08 02:12:50]: zemer [, Level 37]: ChillerDragon: Ok
[2021-04-08 02:13:05]: jorden [, Level 0]: ChillerDragon: do you believe to god?
[2021-04-08 02:13:05]: ChillerDragon [|*KoG*|, Level 44]: ne zemer
[2021-04-08 02:13:09]: zemer [, Level 37]: ChillerDragon: Ok
[2021-04-08 02:13:12]: ***  [, Level 0]: '[D] BC|kakashi' entered and joined the game
[2021-04-08 02:13:14]: weqe [MNKY, Level 12]: (1)ChillerDrago:
[2021-04-08 02:13:14]: (3)ChillerDrago [Chilli.*, Level 33]: weqe: I am currently afk.
[2021-04-08 02:13:22]: YelloWorlD [DogParty, Level 37]: frie
[2021-04-08 02:13:36]: weqe [MNKY, Level 12]: MieSlime:
[2021-04-08 02:13:43]: ***  [, Level 0]: x7|cya's killing spree was ended by ChillerDragon (5 blocks)
[2021-04-08 02:13:45]: ***  [, Level 0]: '[D] BC|kakashi' has left the game
[2021-04-08 02:14:03]: ***  [, Level 0]: '[D] BC|kakashi' entered and joined the game
[2021-04-08 02:14:04]: weqe [MNKY, Level 12]: ~DemoizL~:
[2021-04-08 02:14:30]: MieSlime [FookinLads, Level 43]: zemer:  noob fuck u
[2021-04-08 02:14:37]: Vodo4ka [JB.st, Level 41]: any²: XDD
[2021-04-08 02:14:39]: zemer [, Level 37]: MieSlime: Stfu gay
[2021-04-08 02:15:08]: Vodo4ka [JB.st, Level 41]: pro
[2021-04-08 02:15:14]: [D] BC|kakashi [BC, Level 0]: ChillerDragon: kannst du mir mal helfen#
[2021-04-08 02:15:23]: weqe [MNKY, Level 12]: MieSlime:
[2021-04-08 02:15:27]: [D] BC|kakashi [BC, Level 0]: MieSlime:
[2021-04-08 02:15:29]: [D] BC|Tixnix [BC, Level 26]: MieSlime:
[2021-04-08 02:15:32]: jorden [, Level 0]: ChillerDragon: give me change your ass map
